"numero","dataAttivazione","tipo","minutiResidui","creditoResiduo"
"3200835058","2017-02-19","ricarica",,"67."
"3201338908","2017-03-25","consumo","235",
"3201429401","2021-09-09","consumo","363",
"3201573993","2015-06-13","consumo","400",
"3201836675","2016-10-06","consumo","329",
"3202176591","2020-12-03","ricarica",,"23."
"3202672885","2020-06-16","consumo","266",
"3203404384","2016-11-19","consumo","589",
"3203494466","2018-11-29","consumo","268",
"3203712938","2022-08-17","consumo","19",
"3203843098","2020-10-13","ricarica",,"61."
"3203928272","2017-01-03","ricarica",,"73."
"3204389836","2018-04-25","ricarica",,"78."
"3205064138","2017-09-02","consumo","513",
"3205162713","2019-04-19","ricarica",,"73."
"3205992937","2021-01-29","consumo","189",
"3206324241","2022-05-05","consumo","266",
"3207527354","2018-10-26","consumo","911",
"3208086978","2016-12-26","ricarica",,"73."
"3208835615","2021-12-27","consumo","689",
"3209275326","2021-11-28","consumo","890",
"3209324808","2019-07-30","ricarica",,"22."
"3209477752","2015-07-30","consumo","973",
"3209818063","2022-09-18","consumo","428",
"3209968814","2017-05-10","consumo","226",
"3280025787","2016-09-02","ricarica",,"33."
"3280330923","2016-06-01","consumo","695",
"3282410386","2022-11-10","consumo","479",
"3282787429","2019-11-21","consumo","103",
"3283067383","2015-08-20","ricarica",,"50."
"3283105183","2018-02-14","consumo","229",
"3283413164","2020-02-01","consumo","176",
"3284358112","2021-01-12","ricarica",,"62."
"3284420678","2021-03-03","ricarica",,"9.9"
"3284653755","2019-04-02","consumo","780",
"3284709521","2018-04-23","consumo","775",
"3284797480","2016-03-16","consumo","147",
"3285302146","2018-12-17","consumo","425",
"3285331586","2021-12-17","ricarica",,"92."
"3285415667","2019-05-03","consumo","201",
"3286174451","2021-03-15","consumo","18",
"3286665800","2017-10-26","ricarica",,"62."
"3288781414","2016-02-07","ricarica",,"72."
"3289169985","2017-12-04","ricarica",,"67."
"3289479851","2022-12-08","consumo","548",
"3330122691","2019-04-26","consumo","620",
"3330430068","2018-03-19","consumo","443",
"3330447898","2018-10-15","consumo","919",
"3331254573","2020-11-04","consumo","366",
"3332281606","2018-02-17","consumo","143",
"3333271950","2015-09-02","consumo","670",
"3333291212","2020-01-16","consumo","331",
"3334283411","2015-03-18","ricarica",,"81."
"3334766072","2020-12-25","ricarica",,"14."
"3334770054","2015-11-11","ricarica",,"61."
"3334865281","2022-03-31","consumo","530",
"3335098393","2015-01-30","ricarica",,"70."
"3335206436","2022-05-08","ricarica",,"70."
"3335305152","2016-07-17","ricarica",,"29."
"3335521667","2018-01-18","consumo","716",
"3335999650","2022-02-10","consumo","812",
"3337133959","2022-02-04","consumo","179",
"3337381684","2019-08-20","ricarica",,"87."
"3337785079","2016-11-14","consumo","171",
"3338017046","2017-01-07","ricarica",,"76."
"3338463865","2018-11-14","consumo","821",
"3338785191","2015-09-10","ricarica",,"57."
"3339015814","2022-09-10","consumo","631",
"3339182619","2021-05-14","ricarica",,"43."
"3339285654","2017-10-19","ricarica",,"3.0"
"3339941013","2022-03-30","consumo","838",
"3350067626","2020-07-12","consumo","369",
"3350324171","2018-06-17","consumo","492",
"3350433218","2015-12-23","consumo","42",
"3350690331","2016-02-18","ricarica",,"44."
"3351002255","2019-11-28","consumo","909",
"3351047541","2016-06-26","ricarica",,"19."
"3351382675","2022-07-09","consumo","611",
"3351554262","2022-03-12","ricarica",,"7.3"
"3351780068","2015-12-07","ricarica",,"26."
"3351838425","2015-10-09","ricarica",,"37."
"3352100323","2019-06-29","consumo","712",
"3353338726","2017-01-21","consumo","483",
"3353341232","2021-03-10","ricarica",,"16."
"3354846564","2021-03-20","ricarica",,"19."
"3354978403","2019-06-07","ricarica",,"1.2"
"3355478872","2020-08-27","consumo","289",
"3355579249","2021-08-14","ricarica",,"67."
"3356073375","2018-06-04","ricarica",,"22."
"3356300979","2016-09-26","consumo","799",
"3356484085","2020-10-07","consumo","508",
"3356558523","2021-10-03","consumo","522",
"3357127484","2019-08-29","consumo","493",
"3357240050","2018-04-16","consumo","393",
"3357393483","2019-01-06","consumo","312",
"3357393638","2018-08-10","consumo","399",
"3357545588","2017-11-21","consumo","30",
"3358184518","2017-11-21","consumo","720",
"3358499261","2020-09-26","ricarica",,"28."
"3358835523","2016-02-26","ricarica",,"25."
"3359374529","2021-10-23","ricarica",,"77."
"3359721811","2017-11-14","ricarica",,"45."
"3359933083","2022-02-26","ricarica",,"5.7"
"3380744666","2015-05-25","ricarica",,"34."
"3381418880","2022-06-04","consumo","907",
"3381510702","2021-06-08","consumo","851",
"3381643347","2022-01-10","ricarica",,"13."
"3381699586","2019-09-11","ricarica",,"27."
"3381851569","2016-02-18","consumo","319",
"3382259136","2018-09-14","ricarica",,"48."
"3382325367","2016-08-05","consumo","652",
"3382356972","2018-07-19","ricarica",,"78."
"3382579050","2020-06-07","ricarica",,"19."
"3382587139","2020-06-25","ricarica",,"89."
"3382842102","2015-03-02","consumo","818",
"3383098215","2022-12-22","ricarica",,"37."
"3383309584","2021-09-10","ricarica",,"32."
"3383413899","2021-10-24","consumo","807",
"3383445655","2020-01-29","consumo","249",
"3384065965","2019-12-09","consumo","450",
"3384118244","2021-10-13","ricarica",,"71."
"3384278680","2016-04-03","ricarica",,"94."
"3384593752","2019-06-20","consumo","308",
"3385556258","2021-04-19","ricarica",,"32."
"3385753260","2017-07-24","ricarica",,"72."
"3386179640","2022-09-28","consumo","232",
"3386838851","2019-06-15","ricarica",,"43."
"3387530463","2020-01-04","consumo","986",
"3387875588","2019-03-26","consumo","965",
"3387961143","2019-02-27","ricarica",,"61."
"3388059826","2016-06-06","ricarica",,"31."
"3388728080","2015-11-01","ricarica",,"76."
"3389451168","2019-06-16","consumo","887",
"3389622292","2019-11-28","ricarica",,"41."
"3389662782","2021-03-22","ricarica",,"49."
"3389960653","2015-07-21","consumo","952",
"3389991191","2018-03-17","consumo","908",
"3400055778","2018-01-20","consumo","148",
"3400873753","2015-01-12","ricarica",,"67."
"3401020275","2020-11-12","consumo","180",
"3401489513","2022-07-18","consumo","240",
"3402023413","2016-11-14","consumo","115",
"3402170430","2017-03-28","ricarica",,"31."
"3402417974","2022-11-09","consumo","202",
"3402444721","2016-11-15","consumo","292",
"3402809202","2017-11-23","ricarica",,"51."
"3403924075","2021-03-21","ricarica",,"71."
"3404140602","2021-06-01","ricarica",,"85."
"3404190496","2019-06-13","ricarica",,"8.0"
"3404420438","2015-05-13","consumo","843",
"3405358414","2017-03-15","consumo","138",
"3406206724","2015-06-03","ricarica",,"30."
"3406442209","2019-05-23","ricarica",,"18."
"3406841459","2017-06-23","ricarica",,"95."
"3407129666","2019-10-24","consumo","402",
"3407849808","2018-05-11","ricarica",,"93."
"3407868144","2022-11-23","consumo","229",
"3408682300","2018-05-07","consumo","699",
"3408733427","2015-08-25","consumo","436",
"3409212779","2021-07-01","consumo","707",
"3409405720","2016-09-21","consumo","621",
"3451121965","2019-10-25","consumo","820",
"3451527420","2018-10-12","consumo","591",
"3451713900","2018-09-28","ricarica",,"98."
"3451839335","2016-08-27","ricarica",,"28."
"3452003791","2020-02-09","consumo","917",
"3452856914","2022-11-01","consumo","757",
"3452966851","2019-06-30","ricarica",,"18."
"3453339521","2016-05-06","ricarica",,"67."
"3453613861","2022-09-11","ricarica",,"2.8"
"3454540193","2020-12-31","ricarica",,"91."
"3454874016","2018-02-07","ricarica",,"0.8"
"3455160917","2020-02-17","ricarica",,"96."
"3455977468","2020-11-30","consumo","999",
"3456541458","2019-06-26","consumo","971",
"3456763201","2019-10-08","ricarica",,"18."
"3456785082","2015-09-26","consumo","736",
"3456884443","2016-01-28","ricarica",,"39."
"3456897028","2017-04-29","consumo","688",
"3457147859","2019-05-11","consumo","611",
"3457489691","2015-01-31","consumo","584",
"3458011848","2021-07-15","consumo","365",
"3458320603","2021-01-27","consumo","661",
"3458346578","2020-01-24","ricarica",,"25."
"3458567700","2022-04-10","consumo","115",
"3459261429","2017-09-11","consumo","703",
"3459537672","2017-12-20","ricarica",,"25."
"3459837354","2015-03-04","ricarica",,"93."
"3470316179","2021-10-29","ricarica",,"31."
"3470913075","2019-09-12","ricarica",,"41."
"3471351823","2017-06-05","consumo","293",
"3471438663","2016-08-20","ricarica",,"47."
"3471491905","2020-12-22","consumo","687",
"3471746120","2015-06-02","consumo","514",
"3471779717","2020-01-06","consumo","131",
"3471781080","2016-01-18","ricarica",,"17."
"3472260256","2022-07-06","ricarica",,"27."
"3472475469","2022-03-29","ricarica",,"19."
"3472818268","2021-01-08","consumo","104",
"3473468007","2016-06-25","ricarica",,"60."
"3473542168","2021-08-08","consumo","181",
"3474101666","2021-03-13","consumo","67",
"3474873471","2018-03-16","ricarica",,"27."
"3475290965","2019-10-30","ricarica",,"1.5"
"3475797279","2021-03-08","consumo","362",
"3476576615","2019-10-15","consumo","691",
"3477506068","2019-03-12","ricarica",,"38."
"3477613791","2020-12-03","ricarica",,"98."
"3477826398","2016-07-13","ricarica",,"27."
"3477854777","2016-11-20","consumo","183",
"3477947383","2018-06-21","consumo","935",
"3478758428","2017-01-11","consumo","109",
"3479427881","2019-06-14","consumo","524",
"3479502402","2019-09-21","ricarica",,"74."
"3479652239","2018-07-26","consumo","945",
"3480748217","2018-11-16","consumo","664",
"3481633565","2020-10-16","ricarica",,"70."
"3481913800","2015-02-20","ricarica",,"5.0"
"3482059304","2015-08-28","consumo","552",
"3482102499","2018-03-28","consumo","137",
"3482843479","2018-11-06","consumo","198",
"3483416518","2017-01-01","consumo","331",
"3483888993","2019-12-31","consumo","410",
"3483937690","2017-12-05","ricarica",,"41."
"3485054447","2022-10-22","ricarica",,"97"
"3485271111","2019-11-04","ricarica",,"74."
"3485314737","2021-05-23","consumo","354",
"3485650609","2021-04-20","ricarica",,"36."
"3485961586","2018-07-21","consumo","903",
"3486368872","2019-02-25","consumo","269",
"3486706562","2020-03-29","ricarica",,"98."
"3487284639","2016-06-09","ricarica",,"52."
"3487314986","2017-11-21","ricarica",,"1.0"
"3487743490","2016-09-11","ricarica",,"9.0"
"3488083136","2020-06-24","ricarica",,"69."
"3488350305","2019-07-02","consumo","77",
"3488709986","2016-04-05","consumo","163",
"3488909010","2015-07-17","ricarica",,"41."
"3489251925","2018-06-24","consumo","142",
"3489651370","2021-12-12","consumo","947",
"3489733484","2017-07-10","consumo","799",
"3489930972","2020-11-17","consumo","161",
"3490082547","2020-12-31","ricarica",,"68."
"3490640391","2015-07-05","consumo","362",
"3490862118","2016-09-01","ricarica",,"19."
"3491318699","2021-12-08","ricarica",,"77."
"3491687849","2022-08-18","ricarica",,"13."
"3493114262","2019-05-15","consumo","379",
"3493244510","2020-07-30","consumo","189",
"3493283096","2022-05-29","consumo","707",
"3493757584","2018-03-24","ricarica",,"57."
"3493959953","2018-05-21","ricarica",,"98."
"3494171545","2018-02-08","consumo","681",
"3494701204","2019-01-15","consumo","446",
"3494948126","2015-08-31","consumo","897",
"3494964759","2020-11-03","consumo","433",
"3495208814","2020-05-25","consumo","213",
"3495502296","2015-10-13","ricarica",,"74."
"3496095396","2017-02-06","ricarica",,"52."
"3496270482","2020-09-10","ricarica",,"87."
"3496554947","2016-04-27","consumo","64",
"3497016873","2017-05-31","consumo","59",
"3497055169","2018-06-14","ricarica",,"59."
"3497312172","2019-12-29","ricarica",,"81."
"3498687403","2018-03-17","consumo","892",
"3498837550","2017-07-02","consumo","349",
"3498932528","2020-12-12","ricarica",,"60."
"3499035213","2018-12-28","consumo","535",
"3499562137","2022-11-04","ricarica",,"10."
"3499818299","2016-09-23","ricarica",,"66."
"3600110248","2015-10-16","ricarica",,"91."
"3600208021","2018-03-01","consumo","138",
"3601154479","2019-10-12","ricarica",,"69."
"3601161559","2017-12-19","ricarica",,"73."
"3601238282","2018-09-17","consumo","991",
"3601341252","2020-09-23","consumo","438",
"3601587996","2022-07-24","consumo","908",
"3602058527","2022-10-19","consumo","656",
"3602157043","2017-10-19","ricarica",,"35."
"3602267528","2022-10-11","consumo","238",
"3602694958","2020-09-18","consumo","735",
"3602696582","2020-04-13","ricarica",,"2.1"
"3602975161","2017-09-23","consumo","613",
