codice,tipoSIM,associataA,dataAttivazione
553331478932880407,micro,3914954168,2021-01-26
338625511848733311,eSIM,3479699786,2013-06-21
487981135119718147,nano,3494877437,2024-10-24
258069983397626000,standard,3801262159,2021-08-11
805614897071248107,nano,3388600165,2013-08-28
669007200317167123,micro,3897249501,2018-03-11
531222003869967849,micro,3455414215,2021-04-20
279648447309710020,standard,3899361230,2016-08-16
218316216477863644,standard,3913683784,2021-04-17
285534578688646841,micro,3400306200,2020-12-09
512250399899080912,eSIM,3608367975,2022-03-31
525089961415790072,micro,3936278239,2024-07-13
868160106204942811,nano,3287469454,2021-03-19
186812738955733796,eSIM,3202769398,2014-12-30
783613945563885345,nano,3602048700,2023-09-30
425248744731791442,micro,3284234774,2018-03-17
149668896617857762,micro,3928532984,2019-06-03
768694094478790916,eSIM,3477480133,2019-09-01
654915521722079455,nano,3663961937,2017-11-05
242256079186339071,nano,3494893567,2013-11-27
701005774681385839,nano,3939115613,2016-12-10
192283454088183577,eSIM,3663898136,2023-09-19
418776697152173485,eSIM,3476841925,2018-09-30
557553000839061363,nano,3933485009,2023-01-29
834531579972676220,nano,3705878822,2015-03-13
102057487814681970,standard,3892973062,2017-08-15
357212844158402447,eSIM,3931142085,2022-01-16
464520872006636214,eSIM,3285522224,2015-01-16
254397384612018902,micro,3383379501,2023-07-27
561749238271598366,standard,3457805209,2024-01-30
760330936611828959,micro,3916389303,2019-09-06
324721811064642837,eSIM,3481811838,2017-06-20
167664501340891441,standard,3404109147,2021-11-06
863651046544044513,standard,3457302613,2023-11-25
178715609643829306,standard,3382819492,2015-07-16
806659410083684036,eSIM,3664760064,2017-11-21
678568906966309011,micro,3922497340,2015-06-04
843554378252855902,nano,3701047765,2024-07-02
726662098189623982,nano,3931560714,2015-02-28
361280533600977877,eSIM,3604886634,2017-11-20
209427400192715416,eSIM,3281602646,2013-04-07
189321175914467541,eSIM,3354281974,2014-07-28
871204100576187393,micro,3913415218,2019-07-09
578651808222287839,nano,3403794084,2017-06-12
225325940606552199,standard,3662777278,2023-12-23
405635155009002850,eSIM,3400017634,2022-11-07
172642147147820768,standard,3608014142,2021-02-09
237172758452976787,standard,3383268391,2021-04-06
