id,effettuataDa,data,ora,durata,costo
1,3706392332,2022-01-13,08:55:11,4852,15.017
2,3706392332,2022-06-06,08:09:40,5940,24.7965
3,3706392332,2017-11-03,19:36:19,6490,16.2401
1,3708819736,2019-06-04,08:58:07,5018,27.7414
2,3708819736,2024-02-05,20:24:38,2872,13.612
3,3708819736,2018-06-29,11:17:43,2237,10.5634
4,3708819736,2024-12-02,13:38:27,5102,8.5798
5,3708819736,2024-02-03,12:09:49,1052,4.4992
6,3708819736,2021-12-06,09:37:09,2993,17.0838
1,3703272951,2024-12-22,19:39:49,5429,5.3655
2,3703272951,2024-11-13,17:51:25,480,0.5125
3,3703272951,2024-12-26,10:52:18,5417,5.7384
4,3703272951,2024-12-07,13:19:57,1334,7.73
1,3700480635,2024-12-31,18:58:34,4899,17.3893
2,3700480635,2024-12-31,19:09:41,2241,7.0912
3,3700480635,2024-12-30,16:59:37,1684,5.5701
4,3700480635,2024-12-30,09:37:08,3720,5.5651
5,3700480635,2024-12-30,21:13:43,5896,7.2167
1,3459705232,2024-08-21,14:21:49,103,0.5951
2,3459705232,2023-04-04,14:12:44,6124,20.1809
3,3459705232,2023-08-27,18:18:49,4724,26.0025
4,3459705232,2024-01-03,19:20:18,2903,6.5269
5,3459705232,2023-10-13,07:18:56,1618,3.4247
1,3400102761,2023-06-14,09:39:35,5266,29.5437
2,3400102761,2024-07-09,16:40:57,2218,9.4593
3,3400102761,2024-10-12,17:13:18,4234,19.4641
1,3206528630,2021-12-09,22:40:01,668,2.8681
2,3206528630,2019-07-16,20:54:57,2308,13.038
3,3206528630,2023-11-19,16:26:24,5528,28.4858
4,3206528630,2022-04-01,17:31:05,6176,21.3022
5,3206528630,2018-12-18,17:27:17,4172,3.7889
1,3936257029,2024-02-25,10:03:08,4695,7.1841
2,3936257029,2024-12-03,20:51:42,1878,2.4862
3,3936257029,2017-12-13,20:21:15,2300,10.235
4,3936257029,2019-07-30,12:56:04,4176,4.2577
5,3936257029,2022-01-27,15:51:34,1865,9.6828
1,3351242262,2021-07-09,11:20:25,7075,34.433
2,3351242262,2020-07-30,16:27:42,6191,11.9621
3,3351242262,2020-03-23,15:10:07,1568,8.0479
4,3351242262,2022-08-05,16:13:44,5333,7.8214
5,3351242262,2017-12-01,07:56:05,1868,6.2265
6,3351242262,2017-09-25,12:22:19,1984,3.5024
1,3913415218,2020-06-23,13:18:06,4357,7.0436
2,3913415218,2024-10-07,17:18:41,23,0.0413
3,3913415218,2020-03-11,16:21:44,1558,8.7745
4,3913415218,2020-10-06,08:26:53,3428,6.2091
5,3913415218,2019-09-15,21:38:17,5630,19.5313
1,3285366566,2022-11-20,12:58:56,5296,23.7553
2,3285366566,2023-10-09,15:25:45,473,1.5492
3,3285366566,2022-07-20,15:33:41,1615,0.8535
4,3285366566,2024-08-03,21:26:55,6751,29.8495
5,3285366566,2022-06-12,11:12:39,22,0.0169
1,3332056734,2022-09-20,10:23:12,6354,32.4213
2,3332056734,2021-03-17,16:22:57,1432,2.2272
3,3332056734,2022-12-20,21:39:45,6410,35.6521
1,3603364717,2023-01-21,18:03:25,1007,1.7755
2,3603364717,2022-07-28,17:04:10,228,1.0012
3,3603364717,2023-11-29,17:11:23,1593,2.9294
4,3603364717,2023-03-18,22:38:33,6568,16.1748
5,3603364717,2023-10-02,17:48:33,3462,10.2653
1,3924578246,2019-12-05,12:08:11,7033,31.8565
2,3924578246,2022-01-11,07:18:34,6850,33.2472
3,3924578246,2021-08-30,21:06:32,3163,15.5744
1,3404699736,2021-05-16,22:43:20,1235,6.9474
2,3404699736,2023-06-17,14:11:22,839,3.3953
3,3404699736,2021-01-23,19:06:27,6725,27.5707
4,3404699736,2022-12-31,08:24:59,7156,37.8247
1,3664324636,2021-10-06,08:53:56,1230,3.9038
2,3664324636,2024-02-02,07:37:20,4630,17.9227
3,3664324636,2021-09-07,10:32:25,1794,1.9452
1,3358830842,2024-07-06,18:47:15,4486,20.6923
2,3358830842,2024-09-18,09:36:46,1342,6.096
3,3358830842,2024-11-06,14:25:34,5641,3.5695
4,3358830842,2024-07-20,11:07:13,5517,26.5477
5,3358830842,2024-08-21,14:29:24,1807,8.79
1,3454678899,2020-03-09,21:40:26,3511,5.2393
2,3454678899,2020-04-04,14:55:49,683,3.7816
3,3454678899,2019-11-10,09:26:08,5328,26.137
4,3454678899,2022-08-20,22:20:25,2371,9.1392
5,3454678899,2020-01-04,09:20:35,2849,10.1287
1,3354190064,2024-05-05,15:42:07,5561,17.7486
2,3354190064,2021-07-06,07:37:26,3262,1.8925
3,3354190064,2022-01-27,18:45:20,2884,9.672
4,3354190064,2021-09-08,08:54:13,531,1.797
5,3354190064,2021-04-15,11:42:55,7177,18.3607
1,3356624752,2016-07-16,09:51:02,3039,5.5775
2,3356624752,2018-08-15,10:30:45,5643,29.6648
3,3356624752,2018-10-29,16:30:45,5751,3.2698
4,3356624752,2019-04-12,17:03:00,6296,9.4248
5,3356624752,2019-08-25,18:46:08,3832,8.5697
6,3356624752,2016-01-10,14:46:52,6691,27.0104
1,3706825434,2024-06-26,15:13:52,61,0.3434
2,3706825434,2024-12-27,20:58:30,5383,15.8175
3,3706825434,2023-06-06,16:50:21,1471,1.6281
4,3706825434,2023-10-06,12:25:43,6017,11.5307
5,3706825434,2024-07-23,20:06:26,4555,3.0413
1,3919721837,2024-11-11,16:29:58,2616,8.6304
2,3919721837,2024-10-10,08:48:44,4726,6.1963
3,3919721837,2024-12-19,08:18:26,967,2.2467
4,3919721837,2024-11-17,15:27:28,3852,12.5067
5,3919721837,2024-12-01,07:00:06,3124,14.9517
1,3911509840,2023-11-30,10:39:41,6155,25.5674
2,3911509840,2024-12-21,12:38:50,3943,3.9664
3,3911509840,2024-06-29,13:52:06,6866,8.8431
1,3402906005,2024-11-13,21:05:18,1583,3.3642
2,3402906005,2024-09-02,08:32:52,7028,34.9058
3,3402906005,2024-08-07,09:11:34,360,1.6692
1,3492706331,2024-10-31,18:56:38,3610,15.0248
2,3492706331,2024-01-22,08:22:14,6499,10.5712
3,3492706331,2024-09-22,10:53:49,6989,8.3698
4,3492706331,2024-09-25,20:41:45,2342,9.7971
5,3492706331,2024-10-05,16:29:15,3144,17.2225
1,3661838258,2015-03-04,14:11:06,2847,10.5553
2,3661838258,2015-10-23,17:15:09,2622,7.6696
3,3661838258,2018-09-20,14:18:53,3316,6.2454
4,3661838258,2021-06-01,22:55:26,861,2.1782
5,3661838258,2016-07-08,19:50:26,7154,19.7048
1,3382810862,2021-12-04,16:49:16,5081,24.8047
2,3382810862,2024-08-15,16:51:29,1397,4.4715
3,3382810862,2023-12-18,16:34:57,5075,21.4772
4,3382810862,2023-10-18,15:29:08,4866,10.3573
5,3382810862,2021-02-15,07:45:05,3061,4.2116
6,3382810862,2021-04-01,10:22:14,112,0.1769
1,3405056342,2018-02-24,10:36:52,7163,12.1253
2,3405056342,2015-11-19,18:22:51,5032,11.8487
3,3405056342,2017-01-03,15:24:09,31,0.1334
4,3405056342,2017-08-29,07:52:19,3413,4.7918
5,3405056342,2017-07-03,18:27:41,1077,0.6803
6,3405056342,2016-01-18,15:23:17,4988,28.5147
1,3920361397,2023-05-23,10:18:04,4189,20.0151
2,3920361397,2020-06-18,07:43:15,1493,1.5535
3,3920361397,2020-03-22,19:32:48,2907,12.808
1,3407545909,2022-07-05,09:08:13,5104,17.1229
2,3407545909,2023-10-24,20:40:59,2753,1.5075
3,3407545909,2022-09-15,09:55:32,7167,16.6514
4,3407545909,2022-07-09,14:54:25,5530,22.6878
5,3407545909,2022-05-23,15:17:20,2105,3.7642
1,3402048441,2024-06-25,19:32:01,2449,13.3843
2,3402048441,2024-02-11,18:55:27,635,2.4323
3,3402048441,2024-08-23,18:21:42,6543,16.4373
4,3402048441,2024-10-08,21:00:56,5318,14.3409
1,3330529555,2023-05-17,22:44:57,4982,19.5408
2,3330529555,2018-12-23,08:01:08,6753,35.9375
3,3330529555,2016-12-11,14:32:41,3427,9.9499
4,3330529555,2016-03-30,12:42:08,3918,12.4627
1,3489382046,2024-03-21,08:30:27,418,0.9808
2,3489382046,2024-11-20,17:56:36,4491,6.8162
3,3489382046,2024-01-13,16:13:49,3674,17.7894
4,3489382046,2023-02-06,20:52:08,1205,2.5296
5,3489382046,2023-07-25,19:11:54,2694,12.6648
6,3489382046,2022-08-10,07:47:24,4091,14.0009
1,3800334291,2024-09-11,13:13:20,6298,31.5806
2,3800334291,2023-09-23,17:02:37,764,1.8847
3,3800334291,2022-11-08,18:56:49,42,0.1221
1,3203224042,2023-03-13,20:48:44,6786,9.3511
2,3203224042,2024-03-21,14:22:47,1662,6.4736
3,3203224042,2023-04-13,09:40:15,5314,26.8949
4,3203224042,2024-01-09,21:36:32,3387,4.5824
5,3203224042,2024-08-07,08:13:52,1695,8.164
6,3203224042,2024-04-16,12:31:45,1336,2.1021
1,3288671293,2024-10-18,18:23:36,4814,4.6321
2,3288671293,2024-02-02,07:35:33,6880,20.1128
3,3288671293,2022-09-22,20:20:57,2425,5.0474
4,3288671293,2021-07-24,13:15:04,5321,4.6372
5,3288671293,2024-06-13,17:13:30,3428,7.8155
6,3288671293,2023-09-16,14:27:46,3840,11.5503
1,3919158239,2024-05-20,20:30:02,7164,29.5374
2,3919158239,2024-08-24,11:56:18,7064,18.101
3,3919158239,2024-08-20,08:42:21,236,1.3612
1,3356932273,2021-06-05,11:59:54,4512,18.9423
2,3356932273,2021-10-25,11:14:34,5043,28.3491
3,3356932273,2022-03-20,14:56:28,2532,2.6866
4,3356932273,2020-10-15,12:29:28,4119,7.8925
5,3356932273,2019-07-13,21:34:53,6001,15.2923
1,3928813383,2022-12-29,17:05:37,5148,29.186
2,3928813383,2022-10-13,16:50:53,6243,19.1137
